FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,first10secs,first30secs,last10secs,last30secs,shortResponse,Interval1,Interval2,Overlap1,Overlap2,Volume1,Volume2,Volume3,Pause1,Pause2,Pause3,TalkLength,Speed1,Speed2,Speed3,Speed4,Speed5,Speed6,Pitch1,Pitch2,Pitch3,Pitch4,cs
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,20,2,10,1,10,9,1,15,2023/01/09/12:50:05,00:00:38.0,00:00:40.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,8.6,10,0,0,5,2,6.4,7.2,0,1,0,5,9.7,6.9,5.3,7.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,21,2,10,1,10,9,1,10,2023/01/09/12:50:05,00:00:40.0,00:00:42.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,8.5,10,0,0,5,2,8.1,4.6,5,0.5,0,6,1.5,4.5,6.2,6.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,22,2,10,1,10,9,1,15,2023/01/09/12:50:05,00:00:42.0,00:00:44.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,8.2,1,0,0,5,2,6,4.5,7.4,1.5,0.7,10,9.1,7.1,4.5,2.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,23,2,10,4,10,9,1,10,2023/01/09/12:50:05,00:00:44.0,00:00:46.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,6.9,1.2,0,0,5,2,6.3,6.1,2.3,1,0,7,6.5,5.4,3.7,5.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,24,2,10,1,10,9,1,14,2023/01/09/12:50:05,00:00:46.0,00:00:48.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,8.3,5.5,0,0,5,2,3.4,0,5,1,0,5,9.1,6.3,5,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,25,2,10,1,10,9,1,12,2023/01/09/12:50:05,00:00:48.0,00:00:50.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,7.9,9.8,0,0,5,2,8.3,4.9,2.1,0.5,0,10,5.7,5.9,5.3,5.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,26,2,10,1,10,9,1,12,2023/01/09/12:50:05,00:00:50.0,00:00:52.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.9,7.5,6.5,0,0,5,2,4.8,5.1,2.1,0.5,0,10,8.5,6.1,6.5,7.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,27,2,10,1,10,9,1,12,2023/01/09/12:50:05,00:00:52.0,00:00:54.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.7,0,0,0,5,2,4.9,6.7,3.2,0.5,0,10,1.5,5.7,3,3.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,28,2,10,1,10,9,1,12,2023/01/09/12:50:05,00:00:54.0,00:00:56.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.9,8,2.2,0,0,5,2,1,2.6,4.5,0.5,0,10,8.2,5.5,3.7,5.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\A Woman Freaks Out On The Bus.wav,29,2,10,1,10,9,1,15,2023/01/09/12:50:05,00:00:56.0,00:00:58.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8.2,2.2,0,0,5,2,9.3,4.9,6.2,1.5,2.1,6,9.1,7.1,4.6,5.7,0
