FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,first10secs,first30secs,last10secs,last30secs,shortResponse,Interval1,Interval2,Overlap1,Overlap2,Volume1,Volume2,Volume3,Pause1,Pause2,Pause3,TalkLength,Speed1,Speed2,Speed3,Speed4,Speed5,Speed6,Pitch1,Pitch2,Pitch3,Pitch4,cs
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,56,3,9,2,4,9,4,-8,2023/01/09/12:50:08,00:01:50.0,00:01:52.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.7,5,0,0,5,2,8.9,7,0.7,1,0,5,8.4,3.8,5.3,4.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,57,4,10,3,1,2,10,1,2023/01/09/12:50:08,00:01:52.0,00:01:54.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,3.1,4.2,0,0,5,2,0,0,5,1,0,7,1.3,5,4.9,3.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,58,4,10,3,1,9,10,-9,2023/01/09/12:50:08,00:01:54.0,00:01:56.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,1.5,4.9,0,0,5,2,2.1,7.7,3.3,1,0,10,8.1,3.8,4.1,4.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,59,4,10,2,1,2,10,-8,2023/01/09/12:50:08,00:01:56.0,00:01:58.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,1.2,4.9,0,0,5,2,7.2,4.9,8.4,1,0,7,8.2,5.4,3.5,3.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,60,4,9,3,2,2,9,-10,2023/01/09/12:50:08,00:01:58.0,00:02:00.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.2,4.7,0,0,5,2,6.7,4,5,1,0,5,5.1,4.1,5.6,6.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,61,4,10,2,4,9,10,-4,2023/01/09/12:50:08,00:02:00.0,00:02:02.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,2.3,5,0,0,5,2,6.4,3.9,0.7,1.5,0.7,10,8.5,4.4,5.9,5.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,62,4,9,2,2,2,9,-8,2023/01/09/12:50:08,00:02:02.0,00:02:04.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1.4,5.2,0,0,5,2,5.6,8.1,10,0.5,0,6,4.5,4.4,5.4,7.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,63,4,10,2,1,2,10,-7,2023/01/09/12:50:08,00:02:04.0,00:02:06.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1.7,5,0,0,5,2,7.7,5.2,5.8,0.5,0,6,5.1,4.1,5.4,5.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,64,4,4,2,1,2,4,-14,2023/01/09/12:50:08,00:02:06.0,00:02:08.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,1.7,5.2,0,0,5,2,3.9,7.4,8.4,0,0,0,5.3,1.9,5,4.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,65,4,10,2,2,9,10,-7,2023/01/09/12:50:08,00:02:08.0,00:02:10.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,2.2,4.9,0,0,5,2,5.4,4.7,3.1,0.5,0,6,8,3.3,5.1,4.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,66,4,10,2,1,2,10,-3,2023/01/09/12:50:08,00:02:10.0,00:02:12.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,2.4,5.2,0,0,5,2,0,0,5,1,0,5,5.5,4.4,3.1,4.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,67,4,4,2,2,2,4,-10,2023/01/09/12:50:08,00:02:12.0,00:02:14.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1.8,4.8,0,0,5,2,0,0,5,0.5,0,6,4.1,2.8,5.2,5.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,68,4,10,2,1,9,10,-6,2023/01/09/12:50:08,00:02:14.0,00:02:16.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,1.8,5.2,0,0,5,2,7.5,5.6,3.3,1,0,5,8.7,4.2,4.3,3.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,69,4,10,3,1,2,10,-5,2023/01/09/12:50:08,00:02:16.0,00:02:18.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6,2.1,4.2,0,0,5,2,0,0,5,0.5,0,6,8.8,4.1,4.3,5.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,70,4,4,3,1,2,4,-6,2023/01/09/12:50:08,00:02:18.0,00:02:20.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.4,2.3,5.2,0,0,5,2,10,0,5,0.5,0,10,7.2,3.5,6,5.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,71,4,10,2,1,9,10,-5,2023/01/09/12:50:08,00:02:20.0,00:02:22.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.4,1.9,5,0,0,5,2,9,7.6,0,1,0,5,2.6,4.7,5.8,7.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,72,4,4,2,1,2,4,-4,2023/01/09/12:50:08,00:02:22.0,00:02:24.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6,2.7,5.6,0,0,5,2,4.9,3.5,6.1,0.5,0,6,7.2,3.4,4.3,4.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,73,3,9,4,1,9,1,5,2023/01/09/12:50:08,00:02:24.0,00:02:26.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.9,5.6,5.9,0,0,5,2,6.8,0,5,2,0.6,5,8,4.2,4.9,5.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,74,3,9,2,1,9,4,-6,2023/01/09/12:50:08,00:02:26.0,00:02:28.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.4,2.1,5.3,0,0,5,2,4.1,6.1,2.7,1.5,2.1,6,8.1,3.6,4.3,5.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,75,4,10,2,1,9,10,-4,2023/01/09/12:50:08,00:02:28.0,00:02:30.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,2.1,5.1,0,0,5,2,7.6,4.6,3.1,1.5,1.4,6,8.2,4.7,4.7,4.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,76,4,4,2,1,2,4,-7,2023/01/09/12:50:08,00:02:30.0,00:02:32.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,2.5,5.8,0,0,5,2,9.7,4.1,5,0,0,0,8,2.8,5.2,4.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,77,4,9,3,1,2,9,-6,2023/01/09/12:50:08,00:02:32.0,00:02:34.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,2.4,4.5,0,0,5,2,8.5,0,5,0.5,0,6,7.5,3.4,4.8,4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,78,3,9,4,1,9,1,2,2023/01/09/12:50:08,00:02:34.0,00:02:36.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5.5,8.4,0,0,5,2,5.6,5.3,7.1,0.5,0,6,5.7,3.1,5.5,6.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,79,4,9,2,1,2,9,-5,2023/01/09/12:50:08,00:02:36.0,00:02:38.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.1,1.9,4.9,0,0,5,2,8.5,0,5,0.5,0,10,5.1,4.6,4.7,5.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,80,4,4,2,1,2,4,-13,2023/01/09/12:50:08,00:02:38.0,00:02:40.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.6,1.1,5.4,0,0,5,2,5.1,6.6,8.1,1,0,5,4.7,3.2,5,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,81,3,9,2,1,9,4,-16,2023/01/09/12:50:08,00:02:40.0,00:02:42.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.8,1.2,4.9,0,0,5,2,6.7,6.8,0.7,1,0,5,5.7,2.2,5.2,6.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,82,3,9,7,1,9,1,7,2023/01/09/12:50:08,00:02:42.0,00:02:44.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.5,4.7,2.8,0,0,5,2,1.2,6,4.3,0,0,0,9.1,6,5.7,6.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,83,4,10,2,1,9,10,-5,2023/01/09/12:50:08,00:02:44.0,00:02:46.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,1.9,5.3,0,0,5,2,5.9,4.9,0,1,0,5,4,4.8,4.4,4.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,84,1,7,7,1,2,3,4,2023/01/09/12:50:08,00:02:46.0,00:02:48.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.2,4.1,4.5,0,0,5,2,0,0,5,1,0,5,3.8,5.3,4.9,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,85,4,10,2,1,2,10,-11,2023/01/09/12:50:08,00:02:48.0,00:02:50.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.9,4.9,0,0,5,2,0,0,5,0.5,0,10,4.1,5.4,4.7,6.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,86,4,10,2,1,2,10,-8,2023/01/09/12:50:08,00:02:50.0,00:02:52.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,2.3,4.9,0,0,5,2,0,0,5,1,0,5,7,2.7,4.9,5.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,87,4,10,2,1,9,10,-9,2023/01/09/12:50:08,00:02:52.0,00:02:54.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1.3,5,0,0,5,2,8.1,5.5,4.3,1,0,5,4.5,4.5,3.8,3.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,88,3,9,4,1,9,1,1,2023/01/09/12:50:08,00:02:54.0,00:02:56.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.2,5.3,9.2,0,0,5,2,2.6,5.5,4.1,1,0,5,6.5,3,4.4,4.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,89,1,4,4,1,2,1,9,2023/01/09/12:50:08,00:02:56.0,00:02:58.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.9,5.4,2.1,0,0,5,2,2.4,0,5,0.5,0,6,9.5,6.1,4.8,5.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,90,4,9,2,1,2,9,-15,2023/01/09/12:50:08,00:02:58.0,00:03:00.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.9,1.1,5,0,0,5,2,8,7.2,6.4,0.5,0,10,7.2,2.8,5,4.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,91,4,10,2,1,2,10,-7,2023/01/09/12:50:08,00:03:00.0,00:03:02.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.8,2,4.8,0,0,5,2,0,0,5,1.5,0.7,6,2.4,3.7,4.1,4.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,92,4,10,2,1,2,10,2,2023/01/09/12:50:08,00:03:02.0,00:03:04.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9,2.9,5.4,0,0,5,2,0,0,5,0.5,0,10,9.1,5.7,4.3,4.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,93,1,7,7,1,2,1,5,2023/01/09/12:50:08,00:03:04.0,00:03:06.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4,3.9,3.9,0,0,5,2,9.1,7.4,5,0,0,0,5,5.8,6.4,6.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,94,4,10,3,1,2,10,2,2023/01/09/12:50:08,00:03:06.0,00:03:08.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9,2.7,4.7,0,0,5,2,0,0,5,1.5,0.7,6,9.1,6.4,4.8,6.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,95,4,4,2,1,2,4,-8,2023/01/09/12:50:08,00:03:08.0,00:03:10.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.4,1.9,5,0,0,5,2,5.7,0,5,0.5,0,6,5.1,3.2,5.4,4.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,96,4,10,2,1,2,10,-4,2023/01/09/12:50:08,00:03:10.0,00:03:12.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5,2,5.3,0,0,5,2,9.6,6.8,10,0.5,0,6,9,5,5.6,5.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,97,4,10,2,1,2,10,-1,2023/01/09/12:50:08,00:03:12.0,00:03:14.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6,2.4,4.9,0,0,5,2,0,0,5,1.5,0.7,10,8.2,5.4,5.4,5.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,98,4,9,2,1,2,9,-4,2023/01/09/12:50:08,00:03:14.0,00:03:16.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,1.7,4.5,0,0,5,2,7.5,5.3,5,0.5,0,6,7.2,5.7,4.3,5.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,99,1,7,7,1,2,3,2,2023/01/09/12:50:08,00:03:16.0,00:03:18.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.2,3.4,4.2,0,0,5,2,0,0,5,0.5,0,10,9.1,5.2,5,3.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,100,4,10,3,1,9,10,-9,2023/01/09/12:50:08,00:03:18.0,00:03:20.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1.3,4.7,0,0,5,2,7.7,5.3,1.2,0,0,0,6.7,4.3,5.6,6.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,101,4,10,3,1,2,10,-1,2023/01/09/12:50:08,00:03:20.0,00:03:22.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6,2.7,5,0,0,5,2,10,0,5,0,0,0,7.5,4.9,5,5.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,102,1,7,7,1,2,1,6,2023/01/09/12:50:08,00:03:22.0,00:03:24.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4,4.5,3.8,0,0,5,2,10,4.9,5,1,0,5,6.3,5.4,3.9,3.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,103,4,10,2,1,2,10,-7,2023/01/09/12:50:08,00:03:24.0,00:03:26.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1.3,4.9,0,0,5,2,10,1,5,1,0,5,2.3,5.6,4.3,4.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,104,4,9,2,1,2,9,-15,2023/01/09/12:50:08,00:03:26.0,00:03:28.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.5,5,0,0,5,2,4.7,4.9,4.8,0,0,0,4.4,5.9,6.7,5.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,105,3,9,3,1,9,9,-10,2023/01/09/12:50:08,00:03:28.0,00:03:30.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.8,1.1,4.8,0,0,5,2,6.9,5.5,4.5,0.5,0,6,8.3,4.8,5.1,4.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,106,4,10,2,1,2,10,-4,2023/01/09/12:50:08,00:03:30.0,00:03:32.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.1,1.6,5.3,0,0,5,2,7.7,1.4,5,1,0,7,6.5,5.9,4.7,5.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,107,4,10,2,1,2,10,-3,2023/01/09/12:50:08,00:03:32.0,00:03:34.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.8,2.4,5.6,0,0,5,2,7.2,4.1,7.2,1,0,7,8.4,4.4,6,5.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,108,4,10,2,1,2,10,0,2023/01/09/12:50:08,00:03:34.0,00:03:36.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3.2,5.6,0,0,5,2,0,0,5,1,0,10,5.3,4.5,5,6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,109,1,4,4,1,2,3,-2,2023/01/09/12:50:08,00:03:36.0,00:03:38.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.5,3.8,5.8,0,0,5,2,7.4,6,5,1.5,0.7,6,6.5,3.1,4.5,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,110,4,9,3,1,2,9,-6,2023/01/09/12:50:08,00:03:38.0,00:03:40.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.8,2.1,5,0,0,5,2,7.8,5.1,6.3,1.5,1.4,6,6.3,3.8,4.9,4.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,111,4,10,2,1,2,10,0,2023/01/09/12:50:08,00:03:40.0,00:03:42.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3,2.8,4.6,0,0,5,2,10,1.4,5,0.5,0,10,5.1,4.9,5.5,5.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,112,1,7,7,1,2,1,2,2023/01/09/12:50:08,00:03:42.0,00:03:44.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.2,3.6,4.7,0,0,5,2,5.9,9.4,10,0.5,0,6,8.3,4.9,4.6,5.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,113,4,10,2,1,2,10,0,2023/01/09/12:50:08,00:03:44.0,00:03:46.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9,2.6,4.9,0,0,5,2,10,0,5,1.5,0.7,6,9.1,5.4,6,6.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,114,4,4,2,1,2,4,-8,2023/01/09/12:50:08,00:03:46.0,00:03:48.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,2,5.3,0,0,5,2,7.1,4.5,7.9,1,0,5,7.8,3.1,4.2,3.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,115,2,10,1,10,9,1,11,2023/01/09/12:50:08,00:03:48.0,00:03:50.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.4,8.2,10,0,0,5,2,10,4.9,8.3,1.5,0,6,8.9,5.1,6.2,4.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,116,1,4,4,1,2,1,4,2023/01/09/12:50:08,00:03:50.0,00:03:52.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3,5.4,1.1,0,0,5,2,5.7,0,5,2,0,5,8.8,3.9,4.3,5.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,117,4,9,2,1,2,9,-2,2023/01/09/12:50:08,00:03:52.0,00:03:54.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6,2.2,4.7,0,0,5,2,6.4,6.6,9,0.5,0,10,5,5.5,4.9,4.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,118,4,10,2,1,9,10,-6,2023/01/09/12:50:08,00:03:54.0,00:03:56.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9,2.5,4.8,0,0,5,2,6.5,4.4,2.3,0.5,0,10,4.1,3.2,5.2,5.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,119,4,10,2,1,9,10,-13,2023/01/09/12:50:08,00:03:56.0,00:03:58.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.7,4.9,0,0,5,2,7.4,4,2.8,1.5,0.7,6,9.1,5.5,5.5,6.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,120,4,10,2,1,2,10,-1,2023/01/09/12:50:08,00:03:58.0,00:04:00.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6,2.4,5.7,0,0,5,2,5.9,5,5,1.5,2.1,6,9.1,5.4,4.7,3.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,121,3,9,2,1,9,9,-10,2023/01/09/12:50:08,00:04:00.0,00:04:02.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0.9,5.1,0,0,5,2,7.1,7.2,0,0.5,0,6,4.7,5.6,3.9,4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,122,4,9,2,1,2,9,-10,2023/01/09/12:50:08,00:04:02.0,00:04:04.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.4,1.4,5.1,0,0,5,2,8.5,0,5,0.5,0,10,6.5,3.5,5.7,5.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,123,4,10,3,1,9,10,-3,2023/01/09/12:50:08,00:04:04.0,00:04:06.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,2.6,4.4,0,0,5,2,6.9,6.3,0.6,2,0.6,5,5.7,4.2,5.3,5.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,124,1,7,7,1,2,1,0,2023/01/09/12:50:08,00:04:06.0,00:04:08.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4,3.6,4.7,0,0,5,2,7.7,1.4,5,1.5,0.7,6,5.3,3.8,5.4,4.1,0
