FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,first10secs,first30secs,last10secs,last30secs,shortResponse,Interval1,Interval2,Overlap1,Overlap2,Volume1,Volume2,Volume3,Pause1,Pause2,Pause3,TalkLength,Speed1,Speed2,Speed3,Speed4,Speed5,Speed6,Pitch1,Pitch2,Pitch3,Pitch4,cs
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,13,4,10,2,1,2,10,-4,2023/01/09/12:50:08,00:00:24.0,00:00:26.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.4,2,5.2,0,0,5,2,0,0,5,0.5,0,6,6.5,4.7,4.9,5.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,14,1,7,7,1,2,1,4,2023/01/09/12:50:08,00:00:26.0,00:00:28.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.2,3.5,3.9,0,0,5,2,7.1,5.3,5,1,0,5,4.5,5.8,6.8,5.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,15,2,10,2,10,2,10,-10,2023/01/09/12:50:08,00:00:28.0,00:00:30.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.1,1.8,4.8,0,0,5,2,10,0,5,1.5,0,6,6.5,3,5.3,3.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,16,3,9,7,1,9,3,5,2023/01/09/12:50:08,00:00:30.0,00:00:32.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.4,4.4,5.5,0,0,5,2,4.3,4.7,2.8,1.5,0,10,8.2,5.1,4.7,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,17,1,2,2,2,2,2,4,2023/01/09/12:50:08,00:00:32.0,00:00:34.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.1,3.9,0,0,5,2,3.4,0,5,1.5,0.7,10,8.5,4.3,5.4,5.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,18,4,10,1,2,2,10,-18,2023/01/09/12:50:08,00:00:34.0,00:00:36.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.6,4.9,0,0,5,2,7.5,7.4,10,0.5,0,10,5.7,3.4,4.1,4.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,19,4,4,2,2,2,4,-20,2023/01/09/12:50:08,00:00:36.0,00:00:38.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.5,4.9,0,0,5,2,10,0,5,1,0,5,5.9,2.4,4.6,5.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,20,4,4,2,2,2,4,-19,2023/01/09/12:50:08,00:00:38.0,00:00:40.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.5,5.1,0,0,5,2,0,0,5,1,0,5,8.1,3.5,5.5,4.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,21,3,9,4,1,9,1,8,2023/01/09/12:50:08,00:00:40.0,00:00:42.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.4,7,0,0,5,2,0,0,5,1,0,5,5.1,5,5.3,6.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,22,2,10,4,10,9,1,13,2023/01/09/12:50:08,00:00:42.0,00:00:44.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,7.9,7.5,0,0,5,2,0,0,5,2,0.6,5,9.1,6.4,6.6,5.8,0
