FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,174,3,10,4,1,10,9,9,2022/12/28/14:05:41,00:07:29.3,00:07:30.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,175,3,7,1,1,7,3,0,2022/12/28/14:05:41,00:07:32.0,00:07:32.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,176,3,10,2,2,10,4,15,2022/12/28/14:05:41,00:07:36.1,00:07:40.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,177,3,7,2,1,7,4,6,2022/12/28/14:05:41,00:07:41.1,00:07:42.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,178,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:07:42.9,00:07:44.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,179,4,10,1,1,7,10,-6,2022/12/28/14:05:41,00:07:47.6,00:07:47.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,180,3,7,2,1,7,4,-8,2022/12/28/14:05:41,00:07:49.9,00:07:50.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,181,3,10,4,1,10,4,20,2022/12/28/14:05:41,00:07:51.8,00:07:52.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,182,3,7,1,1,7,3,8,2022/12/28/14:05:41,00:08:13.7,00:08:14.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,183,3,10,2,2,10,4,19,2022/12/28/14:05:41,00:08:16.8,00:08:19.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,184,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:08:20.5,00:08:22.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,185,3,7,2,1,7,3,-6,2022/12/28/14:05:41,00:08:23.9,00:08:24.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,186,3,7,2,1,7,4,18,2022/12/28/14:05:41,00:08:27.9,00:08:29.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,187,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:08:36.4,00:08:39.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,188,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:08:39.9,00:08:43.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,189,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:08:44.2,00:08:47.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,190,3,10,4,2,10,4,11,2022/12/28/14:05:41,00:08:48.5,00:08:51.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,191,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:08:54.0,00:08:56.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,192,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:08:57.0,00:08:58.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,193,3,10,2,2,10,4,14,2022/12/28/14:05:41,00:08:59.8,00:09:03.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,194,3,7,2,1,7,4,20,2022/12/28/14:05:41,00:09:04.3,00:09:05.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,195,3,10,1,1,10,9,20,2022/12/28/14:05:41,00:09:06.6,00:09:07.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,196,3,7,4,1,7,3,6,2022/12/28/14:05:41,00:09:09.4,00:09:10.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,197,3,7,2,1,7,3,6,2022/12/28/14:05:41,00:09:11.6,00:09:13.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,198,3,7,4,2,7,4,10,2022/12/28/14:05:41,00:09:15.7,00:09:18.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,199,3,10,4,1,10,4,12,2022/12/28/14:05:41,00:09:19.5,00:09:20.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,200,4,10,2,1,7,10,20,2022/12/28/14:05:41,00:09:21.0,00:09:21.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,201,4,10,4,2,7,10,9,2022/12/28/14:05:41,00:09:21.7,00:09:22.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,202,3,10,2,1,10,4,-6,2022/12/28/14:05:41,00:09:23.3,00:09:24.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,203,3,7,2,1,7,3,-4,2022/12/28/14:05:41,00:09:24.8,00:09:25.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,204,3,10,4,2,10,3,19,2022/12/28/14:05:41,00:09:26.9,00:09:29.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,205,3,10,2,1,10,4,17,2022/12/28/14:05:41,00:09:29.7,00:09:30.5,1,OK
