FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,1,3,10,4,2,10,4,18,2022/12/28/14:05:29,00:00:00.0,00:00:03.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,2,3,10,2,2,10,4,20,2022/12/28/14:05:29,00:00:03.5,00:00:11.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,3,3,10,2,2,10,4,20,2022/12/28/14:05:29,00:00:11.9,00:00:15.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,4,3,10,4,1,10,4,20,2022/12/28/14:05:29,00:00:15.5,00:00:16.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,5,3,10,2,1,10,4,20,2022/12/28/14:05:29,00:00:18.0,00:00:19.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,6,1,10,10,2,10,4,18,2022/12/28/14:05:29,00:00:20.1,00:00:20.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,7,3,10,2,2,10,4,20,2022/12/28/14:05:29,00:00:21.2,00:00:24.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,8,3,7,2,2,7,4,20,2022/12/28/14:05:29,00:00:25.2,00:00:29.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,9,3,10,2,2,10,4,20,2022/12/28/14:05:29,00:00:29.6,00:00:33.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,10,3,10,2,2,10,4,20,2022/12/28/14:05:29,00:00:33.6,00:00:37.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,11,3,10,2,2,10,4,20,2022/12/28/14:05:29,00:00:37.6,00:00:45.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,12,3,10,4,1,10,4,20,2022/12/28/14:05:29,00:00:45.9,00:00:47.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,13,3,7,4,2,7,4,20,2022/12/28/14:05:29,00:00:47.8,00:00:49.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,14,3,7,2,2,7,4,20,2022/12/28/14:05:29,00:00:50.0,00:00:50.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,15,3,10,2,2,10,4,20,2022/12/28/14:05:29,00:00:51.7,00:00:54.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,16,3,7,2,2,7,4,0,2022/12/28/14:05:29,00:00:55.3,00:00:55.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,17,3,10,2,1,10,4,0,2022/12/28/14:05:29,00:00:56.2,00:00:57.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,18,3,7,2,2,7,4,-20,2022/12/28/14:05:29,00:00:57.7,00:00:58.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,19,3,10,2,1,10,4,18,2022/12/28/14:05:29,00:01:00.4,00:01:01.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,20,3,10,2,2,10,4,20,2022/12/28/14:05:29,00:01:01.5,00:01:03.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\1003_wav_channel1.wav,21,3,7,2,1,7,4,16,2022/12/28/14:05:29,00:01:08.4,00:01:09.4,1,OK
