FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,1,4,10,4,1,7,10,10,2022/12/28/14:05:29,00:00:00.1,00:00:01.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,2,3,10,2,2,10,4,14,2022/12/28/14:05:29,00:00:02.1,00:00:02.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,3,3,7,2,1,7,3,6,2022/12/28/14:05:29,00:00:03.1,00:00:03.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,4,3,10,4,2,10,4,20,2022/12/28/14:05:29,00:00:04.4,00:00:08.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,5,3,10,4,1,10,4,13,2022/12/28/14:05:29,00:00:09.4,00:00:11.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,6,3,10,2,1,10,4,15,2022/12/28/14:05:29,00:00:11.7,00:00:12.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,7,3,10,2,2,10,4,16,2022/12/28/14:05:29,00:00:12.9,00:00:19.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,8,3,10,2,2,10,4,17,2022/12/28/14:05:29,00:00:20.5,00:00:24.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,9,3,10,4,2,10,4,20,2022/12/28/14:05:29,00:00:24.5,00:00:28.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,10,3,7,4,2,7,4,13,2022/12/28/14:05:29,00:00:29.3,00:00:32.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,11,3,7,4,2,7,4,17,2022/12/28/14:05:29,00:00:32.9,00:00:37.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,12,3,10,2,1,10,4,16,2022/12/28/14:05:29,00:00:38.5,00:00:40.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,13,3,10,4,2,10,4,20,2022/12/28/14:05:29,00:00:40.7,00:00:43.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,14,4,10,2,1,2,10,13,2022/12/28/14:05:29,00:00:44.4,00:00:45.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,15,3,10,2,2,10,4,19,2022/12/28/14:05:29,00:00:47.1,00:00:52.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,16,3,10,2,2,10,4,16,2022/12/28/14:05:29,00:00:52.4,00:00:54.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,17,3,10,2,2,10,4,9,2022/12/28/14:05:29,00:00:55.3,00:00:58.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,18,3,7,4,2,7,4,16,2022/12/28/14:05:29,00:00:59.3,00:01:06.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,19,3,10,2,1,10,4,13,2022/12/28/14:05:29,00:01:08.5,00:01:09.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,20,3,7,2,2,7,4,13,2022/12/28/14:05:29,00:01:10.4,00:01:12.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,21,3,10,2,2,10,4,19,2022/12/28/14:05:29,00:01:13.2,00:01:15.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,22,3,10,2,2,10,4,16,2022/12/28/14:05:29,00:01:16.2,00:01:20.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,23,4,10,0,1,2,10,-4,2022/12/28/14:05:29,00:01:21.6,00:01:21.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,24,3,10,2,1,10,4,14,2022/12/28/14:05:29,00:01:22.6,00:01:23.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,25,3,7,2,1,7,3,-18,2022/12/28/14:05:29,00:01:24.1,00:01:24.4,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,26,3,10,2,2,10,4,10,2022/12/28/14:05:29,00:01:26.8,00:01:29.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,27,3,10,2,1,10,4,8,2022/12/28/14:05:29,00:01:31.2,00:01:32.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\1005_wav_channel1.wav,28,4,10,0,1,2,10,12,2022/12/28/14:05:29,00:01:33.1,00:01:34.5,1,OK
